obs,time,elapsed,date,hhmmss,averaging,machine,id,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,CO2_hrs,AccH2O_des,AccCO2_soda,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA
11,1743613545,1058.1,20250402 12:05:45,12:05:45,5,gibson,4193_mai_pink,1743613537,0.00018011,0.180109663,3.04131882,1196.130667,560.3701916,50.12950669,107.0032653,0.008063381,2.735029256,0.008050197,0.005032556,49.61873782,25.91770803,25.91770803,3.35786243,42.64044479,1.409726732,3.306078862,1.948135698,-7.942836125,-38.66575802,-3.014110478,-0.003966809,0,0,1,0,47455,300.0073333,252.906454,0.843000907,0.16539175,6,0.5,0: Broadleaf,2,1743613537,1196.130667,1200.038667,15.75856,15.54584,1189.504667,15.69756,500.0133333,89.35784,0.099999553,25.65548,24.98368,999.9,0,0,9993.652,0,184.8154,-4.303434667,1214.879333,1218.989333,0.2134432,1200.038667,15.54584,1.408214667,1.389141333,12.00637333,11.79962,300.0073333,0.899976067,0.100023927,0,2.695006667,0,1275.162667,2669.999333,36.0662,40.312,38.5,39.25,36.76653333,269.9993333,30.01,0,1743613545,0,1743613570,12:06:10,1743613570,1743613565,11,0.394,0.003,6.626,0.061,1200,16,0.55,0.2,-4.316614,0.348648722,0.051371114,0,0.21406585,-0.012099474,0.001374132,1,1,2,2-Jan,3.12471,2.72326,0.183028,0.183671,0.0749264,0.0741555,22157.3,19947.1,24241.9,23779.7,38232.8,36409.6,43702.9,42354.2,1.8709,1.85295,0.0931919,0,23.449,999.9,39.788,26.284,15.2788,53.9785,44.4631,1,-0.146113,-1.03966,20.253,5.23526,11.9912,4.9576,3.304,999.9,9999,9999,9999,1.86833,1.86401,1.87164,1.86248,1.86188,1.86839,1.85852,1.86496,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.626,0.061,3.579779118,0.004507312,-2.84E-06,7.75E-10,-0.017565364,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.5,1.8,2.41333,2.31567,1.49902,2.34497,1.54419,2.31567,31.2809,15.9007,18,499.525,436.206,25.9509,25.5074,30.0001,25.4586,25.4845,48.3174,-30,-30,25.9606,1200,0,97.9506,98.7528,NA
12,1743613662,1175.1,20250402 12:07:42,12:07:42,5,gibson,4193_mai_pink,1743613654,0.000172739,0.172739173,3.549257437,1495.411667,718.8416276,64.29994612,133.7636635,0.007717059,2.734254624,0.007704979,0.004816696,49.61714954,25.94270827,25.94270827,3.36283615,42.62005726,1.410968141,3.310573076,1.951868009,-7.617797531,-38.96440143,-3.038981818,-0.004031242,0,0,1,0,47418,299.9973333,252.898058,0.84300102,0.165391969,6,0.5,0: Broadleaf,2,1743613654,1495.411667,1499.980667,15.77392667,15.56991333,1488.642667,15.70792667,500.0096667,89.34940667,0.09998476,25.67838,24.99381333,999.9,0,0,9989.989333,0,185.0499333,-4.390096,1519.559333,1523.706667,0.2025368,1499.980667,15.56991333,1.409258,1.391162,12.01761333,11.82164,299.9973333,0.89997,0.10003,0,2.6451,0,1292.406,2669.903333,36.062,40.30373333,38.5,39.2038,36.75,269.988,30.01,0,1743613662,0,1743613697,12:08:17,1743613697,1743613681,12,-0.185,0.005,6.769,0.066,1500,16,1.11,0.14,-4.36619381,-0.220503117,0.091808261,0,0.202713667,-0.006405662,0.001169117,1,1,2,2-Jan,3.12465,2.72306,0.210127,0.210615,0.0749593,0.0742358,21422.9,19291.2,24241.5,23781.8,38232.5,36411.4,43701.5,42357.5,1.87095,1.85355,0.0961274,0,23.4179,999.9,39.763,26.304,15.2878,54.2485,44.4992,1,-0.147459,-1.10115,20.2526,5.23421,11.9908,4.9557,3.304,999.9,9999,9999,9999,1.86832,1.86401,1.87165,1.86248,1.86188,1.86843,1.85852,1.865,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.769,0.066,3.972291498,0.004507312,-2.84E-06,7.75E-10,-0.014929133,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.5,1.6,2.88452,2.29492,1.4978,2.34497,1.54419,2.40723,31.2809,15.8832,18,499.469,436.475,26.1362,25.4924,30,25.448,25.4739,57.7254,-30,-30,26.1337,1500,0,97.948,98.7607,NA
14,1743614862,2375,20250402 12:27:42,12:27:42,5,gibson,4061_mai_pink,1743614854,6.58E-05,0.065770154,0.209445854,399.7240625,274.5077639,24.53829018,35.73139389,0.002961114,2.734953664,0.002959334,0.001849743,49.61601582,25.78877344,25.78877344,3.332313177,42.69760566,1.398215585,3.274693189,1.934097592,-2.900463805,-43.3463716,-3.374161005,-0.004980595,0,0,1,0,47696,299.9969375,252.8971708,0.842999175,0.165388408,6,0.5,0: Broadleaf,2,1743614854,399.7240625,400.0069375,15.64171875,15.56403125,394.3250625,15.57971875,500.014,89.2901625,0.099987456,25.49479375,25.00546875,999.9,0,0,10000.77688,0,175.6499375,-0.357851,405.998875,406.3313125,0.075718106,400.0069375,15.56403125,1.396475625,1.389714375,11.87941875,11.8058625,299.9969375,0.900021313,0.099978856,0,2.6091,0,723.0430625,2669.94625,36.28875,40.476375,38.687,39.375,36.937,270.00375,29.99125,0,1743614862,0,1743614880,12:28:00,1743614878,1743614880,14,0.073,0.003,5.399,0.062,400,16,0.36,0.09,-0.338054762,-0.022524701,0.078468666,1,0.07602151,-9.15E-05,0.001059975,1,2,2,2-Feb,3.12467,2.72326,0.0850824,0.0859839,0.0744777,0.0741948,24800.2,22349.7,24229.6,23797.4,38222.5,36428.2,43679.5,42386.4,1.87223,1.84925,0.0828207,0,23.6417,999.9,39.665,26.526,15.4617,53.8585,44.5433,1,-0.158697,-0.760403,20.2553,5.23511,11.992,4.95765,3.304,999.9,9999,9999,9999,1.86835,1.86401,1.87165,1.86248,1.86188,1.86839,1.85852,1.865,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.399,0.062,3.940536325,0.004507312,-2.84E-06,7.75E-10,-0.017411548,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,17.2,17.5,1.00464,2.36206,1.49902,2.34497,1.54419,2.20581,31.4552,15.7431,18,499.071,432.799,25.5296,25.3561,30.0003,25.3043,25.3281,20.1422,-30,-30,25.532,400,0,97.8992,98.8271,NA
15,1743614957,2470,20250402 12:29:17,12:29:17,5,gibson,4061_mai_pink,1743614949,6.49E-05,0.064869241,0.028044285,299.9353125,274.3555403,24.5250536,26.81166784,0.002920739,2.734948299,0.002919007,0.001824535,49.61771738,25.7832172,25.7832172,3.331215997,42.68147167,1.397204248,3.273561556,1.934011749,-2.860733537,-43.38499217,-3.37698098,-0.004989302,0,0,1,0,47413,300.00425,252.9035903,0.843000025,0.165390048,6,0.5,0: Broadleaf,2,1743614949,299.9353125,299.9923125,15.63016875,15.55354375,295.1833125,15.57516875,500.0090625,89.2915125,0.099988662,25.488975,25.002725,999.9,0,0,10000.59375,0,175.6785,0.308313313,305.0713125,304.731875,0.084796794,299.9923125,15.55354375,1.396371875,1.388800625,11.87829375,11.7959,300.00425,0.899994188,0.100005906,0,2.6570625,0,723.4134375,2669.985625,36.312,40.5,38.75,39.3905,36.9960625,270.003125,30.000625,0,1743614956,0,1743614979,12:29:39,1743614979,1743614975,15,-0.366,-0.007,4.752,0.055,300,16,0.49,0.12,0.315773,-0.048434887,0.028663132,1,0.084697055,-0.001364684,0.00115815,1,2,2,2-Feb,3.12481,2.72315,0.067537,0.0684594,0.074452,0.0741518,25272.6,22777.1,24226.7,23796.4,38217.4,36427.6,43674.2,42385.3,1.87223,1.84885,0.0826716,0,23.6387,999.9,39.641,26.526,15.4532,53.9885,44.5192,1,-0.156999,-0.800264,20.255,5.23511,11.9917,4.9571,3.304,999.9,9999,9999,9999,1.8683,1.86401,1.87164,1.86249,1.86189,1.86841,1.85852,1.86496,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.752,0.055,4.014053989,0.004507312,-2.84E-06,7.75E-10,-0.014197989,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.3,1.3,0.803223,2.34009,1.4978,2.34497,1.54419,2.37671,31.477,15.7344,18,499.199,432.695,25.5731,25.378,30.0002,25.3202,25.3445,16.1228,-30,-30,25.5688,300,0,97.8873,98.8241,NA
16,1743615056,2569,20250402 12:30:56,12:30:56,5,gibson,4061_mai_pink,1743615048,6.71E-05,0.067064373,-0.09253504,200.085625,241.3055834,21.57011873,17.88549866,0.003018928,2.735016379,0.003017077,0.00188584,49.61748744,25.77835693,25.77835693,3.330256508,42.64981617,1.395816078,3.272736445,1.93444043,-2.95753883,-43.29516575,-3.369751128,-0.004968268,0,0,1,0,47509,300.0014375,252.9013412,0.843000431,0.165390832,6,0.5,0: Broadleaf,2,1743615048,200.085625,199.9906875,15.6150375,15.53581875,195.683625,15.5620375,500.011625,89.28923125,0.099992281,25.48473125,24.98833125,999.9,0,0,10001.25438,0,175.574125,0.1204471,203.2859375,203.1466875,0.082509344,199.9906875,15.53581875,1.39455,1.3871825,11.8585,11.77825625,300.0014375,0.899982688,0.100017369,0,2.6442125,0,724.7365,2669.951875,36.3159375,40.562,38.761625,39.437,37,269.99625,30.004375,0,1743615055,0,1743615075,12:31:15,1743615075,1743615074,16,-0.026,-0.002,4.402,0.053,200,16,0.43,0.15,0.119400671,-0.083407629,0.056819902,1,0.082252195,0.009485494,0.001447016,1,2,2,2-Feb,3.12466,2.72337,0.047497,0.0484674,0.0744091,0.0740831,25813,23266,24224.2,23796.5,38214.4,36429.1,43670.7,42385.7,1.87175,1.84827,0.0843927,0,23.6118,999.9,39.592,26.536,15.4437,53.9885,44.4391,1,-0.15595,-0.937601,20.2544,5.23361,11.9917,4.9568,3.304,999.9,9999,9999,9999,1.8683,1.864,1.87164,1.86248,1.86188,1.86837,1.85852,1.86493,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.402,0.053,3.648365934,0.004507312,-2.84E-06,7.75E-10,-0.020872285,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.3,1.4,0.593262,2.35962,1.4978,2.34497,1.54419,2.38525,31.477,15.7256,18,498.993,432.426,25.7025,25.3875,30.0001,25.3296,25.353,11.9265,-30,-30,25.7028,200,0,97.8786,98.8249,NA
17,1743615158,2671,20250402 12:32:38,12:32:38,5,gibson,4061_mai_pink,1743615150,6.64E-05,0.066408988,-0.174740156,100.1847,188.7985669,16.87477343,8.954485946,0.002983376,2.735316884,0.002981569,0.001863643,49.61756342,25.78794483,25.78794483,3.332149531,42.57082697,1.39401222,3.274571623,1.938137312,-2.928636376,-43.32210137,-3.371799346,-0.004973675,0,0,1,0,47359,300.001875,252.9017119,0.843000438,0.165390844,6,0.5,0: Broadleaf,2,1743615150,100.1847,99.98300625,15.59650625,15.5180625,96.0027,15.54350625,500.026375,89.2798,0.099975013,25.49416875,24.99543125,999.9,0,0,10004.09938,0,175.302,0.049739319,101.617625,101.5590625,0.079169513,99.98300625,15.5180625,1.392518125,1.385449375,11.83639375,11.75930625,300.001875,0.899982688,0.100017362,0,2.63086875,0,727.2793125,2669.955625,36.375,40.6131875,38.812,39.437,37,269.995625,30.004375,0,1743615157,0,1743615184,12:33:04,1743615184,1743615178,17,0.152,0,4.182,0.053,100,16,0.64,0.27,0.0518744,-0.003337054,0.050302041,1,0.079569367,-0.006955255,0.001206645,1,2,2,2-Feb,3.12464,2.72317,0.0244891,0.0255184,0.0743423,0.0740117,26434.7,23827.6,24222.4,23796.9,38212.5,36431.4,43667.8,42387.2,1.8713,1.84787,0.0838935,0,23.6124,999.9,39.568,26.556,15.4536,54.1985,44.1747,1,-0.156242,-0.893796,20.2546,5.23526,11.9911,4.9576,3.304,999.9,9999,9999,9999,1.86829,1.86401,1.87166,1.86249,1.86188,1.86836,1.85852,1.86497,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.182,0.053,3.622839331,0.004507312,-2.84E-06,7.75E-10,-0.023159688,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.4,1.4,0.375977,2.38159,1.4978,2.34497,1.54419,2.39136,31.477,15.7081,18,498.758,432.225,25.644,25.3896,30.0001,25.3338,25.3572,7.56689,-30,-30,25.6452,100,0,97.8718,98.8277,NA
18,1743615257,2770,20250402 12:34:17,12:34:17,5,gibson,4061_mai_pink,1743615249,6.75E-05,0.067538933,-0.134834038,50.15749375,118.3452622,10.57611327,4.482404493,0.003031908,2.733777321,0.003030042,0.001893944,49.61708692,25.78805032,25.78805032,3.332170365,42.53524951,1.392869445,3.274623896,1.93930092,-2.97846694,-43.27365623,-3.3699319,-0.004968156,0,0,1,0,47530,299.99825,252.8987198,0.84300065,0.165391255,6,0.5,0: Broadleaf,2,1743615249,50.15749375,49.9997625,15.58601875,15.5062375,46.06649375,15.53301875,500.01425,89.26660625,0.099989994,25.4944375,24.9929125,999.9,0,0,9996.415625,0,175.4505625,0.043705505,50.83581875,50.787275,0.080596388,49.9997625,15.5062375,1.391385625,1.384189375,11.82405625,11.74553125,299.99825,0.899977125,0.100022913,0,2.6171125,0,729.4961875,2669.9175,36.375,40.625,38.812,39.437,37,269.99125,30.00625,0,1743615256,0,1743615282,12:34:42,1743615282,1743615275,18,0.115,0.001,4.091,0.053,50,16,0.27,0.24,0.059811454,0.014690477,0.052018097,1,0.080286745,0.002332308,0.000699738,1,2,2,2-Feb,3.1247,2.72326,0.0119143,0.012973,0.0742925,0.0739608,26773.8,24135.8,24220.8,23798.3,38211.1,36434.1,43665,42389.1,1.87143,1.84732,0.0845939,0,23.6039,999.9,39.543,26.566,15.4549,54.4085,44.5312,1,-0.156611,-0.924379,20.2545,5.23451,11.992,4.9565,3.304,999.9,9999,9999,9999,1.8683,1.86401,1.87166,1.86248,1.86188,1.86834,1.85852,1.86498,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.091,0.053,3.775282006,0.004507312,-2.84E-06,7.75E-10,-0.022895311,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.2,1.3,0.266113,2.40845,1.4978,2.34497,1.54419,2.40967,31.4988,15.6906,18,498.833,431.921,25.6807,25.3875,30,25.3338,25.3593,5.37785,-30,-30,25.6849,50,0,97.8655,98.8326,NA
19,1743615374,2887,20250402 12:36:14,12:36:14,5,gibson,4061_mai_pink,1743615366,6.83E-05,0.068302219,0.323326556,399.581,219.9804819,19.66101605,35.71302502,0.003070541,2.735772012,0.003068627,0.001918064,49.61978032,25.79456455,25.79456455,3.333457071,42.63607541,1.396744192,3.275968013,1.936712878,-3.01212786,-43.24698152,-3.365625964,-0.004955024,0,0,1,0,47433,300.0138,252.9118914,0.84300086,0.16539166,6,0.5,0: Broadleaf,2,1743615366,399.581,400.0017333,15.6277,15.54702,394.108,15.5647,500.011,89.2762,0.0999841,25.50134667,25.00694,999.9,0,0,10007.212,0,175.6669333,-0.620872,405.7181333,406.3188,0.072751173,400.0017333,15.54702,1.394474667,1.387979333,11.85766667,11.78694,300.0138,0.8999722,0.100027767,0,2.673413333,0,717.256,2670.052667,36.375,40.625,38.812,39.437,37.02066667,270.004,30.01,0,1743615373,0,1743615398,12:36:38,1743615398,1743615392,19,0.199,0.009,5.473,0.063,400,16,0.35,0.07,-0.63668675,0.261930812,0.051130233,0,0.07277441,0.000658827,0.000831333,1,1,2,2-Jan,3.12467,2.72313,0.0850166,0.0859638,0.0744102,0.0741151,24791.3,22352,24219.3,23799.4,38210.4,36435.6,43662.5,42391.3,1.8716,1.84835,0.0850111,0,23.6098,999.9,39.519,26.576,15.4546,54.3185,44.6314,1,-0.156596,-0.832451,20.255,5.23391,11.9917,4.95715,3.304,999.9,9999,9999,9999,1.86833,1.864,1.87168,1.86248,1.86188,1.86835,1.85852,1.86495,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.473,0.063,3.889855775,0.004507312,-2.84E-06,7.75E-10,-0.022140071,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.5,1.6,1.00342,2.35107,1.4978,2.34619,1.54419,2.41333,31.4988,15.6818,18,498.955,432.536,25.6239,25.3875,30,25.336,25.3614,20.1491,-30,-30,25.6541,400,0,97.8598,98.8375,NA
20,1743615460,2973,20250402 12:37:40,12:37:40,5,gibson,4061_mai_pink,1743615452,6.91E-05,0.069087677,0.301905691,399.6001333,232.6287993,20.79071422,35.71342928,0.003103958,2.735462796,0.003102003,0.001938927,49.62161834,25.79818812,25.79818812,3.334172994,42.61418506,1.396342187,3.276707475,1.937830808,-3.046766552,-43.21607469,-3.363726284,-0.004949187,0,0,1,0,47490,300.0253333,252.921578,0.84300074,0.165391428,6,0.5,0: Broadleaf,2,1743615452,399.6001333,399.9955333,15.62377333,15.54216667,394.1771333,15.56177333,500.0199333,89.27294,0.099976333,25.50514667,25.00845333,999.9,0,0,10005.73667,0,175.7146667,-0.346500667,405.9930667,406.3106667,0.08346068,399.9955333,15.54216667,1.394944,1.387494667,11.86279333,11.78164667,300.0253333,0.8999782,0.100021747,0,2.66798,0,716.0453333,2670.158667,36.375,40.66633333,38.812,39.4622,37.04546667,270.016,30.01,0,1743615460,0,1743615478,12:37:58,1743615478,1743615478,20,-0.05,-0.001,5.423,0.062,400,16,0.31,0.14,-0.35001675,0.01069006,0.040154069,1,0.08324928,0.006495275,0.000944049,1,2,2,2-Feb,3.12473,2.72333,0.0850433,0.0859667,0.0743903,0.0740892,24788.7,22351.7,24217.5,23799.2,38208.3,36436.5,43659.2,42391.2,1.87103,1.84792,0.0845231,0,23.6158,999.9,39.495,26.576,15.4429,53.6085,44.4712,1,-0.156453,-0.807413,20.255,5.23481,11.992,4.95735,3.304,999.9,9999,9999,9999,1.86831,1.86401,1.87165,1.86248,1.86188,1.8684,1.85852,1.86497,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.423,0.062,4.088854202,0.004507312,-2.84E-06,7.75E-10,-0.013327805,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1,1.1,1.00464,2.38403,1.49902,2.34497,1.54419,2.20825,31.5206,15.6556,18,498.647,432.321,25.6285,25.3918,30,25.3401,25.3657,20.1418,-30,-30,25.617,400,0,97.8524,98.8371,NA
21,1743615562,3075,20250402 12:39:22,12:39:22,5,gibson,4061_mai_pink,1743615554,6.68E-05,0.066838918,0.553776223,599.3117333,288.4845833,25.78253246,53.56187164,0.003004889,2.737028311,0.003003057,0.001877075,49.6151974,25.79267044,25.79267044,3.333082897,42.63591462,1.396560849,3.275550346,1.936522048,-2.947596263,-43.30410811,-3.368456518,-0.004963495,0,0,1,0,47324,299.9851333,252.8878074,0.843001133,0.165392187,6,0.5,0: Broadleaf,2,1743615554,599.3117333,600.0243333,15.62632667,15.54737333,593.5297333,15.56432667,500.0002,89.27240667,0.099899367,25.4992,25.00933333,999.9,0,0,10015.118,0,175.3478,-0.618314667,608.9218,609.5004,0.0801263,600.0243333,15.54737333,1.395104667,1.387952,11.86453333,11.78664,299.9851333,0.8999662,0.1000338,0,2.71984,0,714.3736667,2669.792,36.38326667,40.687,38.8666,39.5,37.062,269.9766667,30.01,0,1743615562,0,1743615583,12:39:43,1743615583,1743615581,21,-0.095,0,5.782,0.062,600,16,0.51,0.16,-0.624107762,0.030851377,0.060741656,1,0.079856314,0.005101177,0.001049746,1,2,2,2-Feb,3.12464,2.72354,0.115127,0.115857,0.0744005,0.0741106,23972,21621.3,24215.7,23799.5,38207.4,36439.2,43655.6,42392.6,1.8711,1.84813,0.0833981,0,23.6297,999.9,39.44,26.596,15.4405,54.1786,44.5593,1,-0.155389,-0.724959,20.2553,5.23511,11.992,4.95545,3.304,999.9,9999,9999,9999,1.86831,1.864,1.87165,1.86248,1.86188,1.86838,1.85852,1.86496,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.782,0.062,4.038627838,0.004507312,-2.84E-06,7.75E-10,-0.014029955,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.4,1.4,1.38306,2.33154,1.4978,2.34497,1.54419,2.40845,31.5206,15.6556,18,498.759,432.498,25.5094,25.4003,30.0002,25.3486,25.3734,27.7477,-30,-30,25.5052,600,0,97.8446,98.8396,NA
22,1743615675,3188,20250402 12:41:15,12:41:15,5,gibson,4061_mai_pink,1743615667,6.75E-05,0.067523184,0.704947009,799.0878667,406.4579468,36.32767556,71.41945432,0.003040186,2.73504989,0.003038309,0.001899112,49.61381364,25.77939164,25.77939164,3.330460755,42.67374133,1.396697708,3.272967555,1.933763047,-2.977772398,-43.27298336,-3.368020975,-0.004963094,0,0,1,0,47476,299.9765333,252.8805776,0.8430012,0.165392316,6,0.5,0: Broadleaf,2,1743615667,799.0878667,799.9985333,15.62717333,15.54741333,793.2228667,15.56417333,500.0099333,89.27622667,0.099995027,25.48592,24.9965,999.9,0,0,10002.91067,0,175.3656667,-0.655843133,812.0329333,812.6328667,0.08042686,799.9985333,15.54741333,1.395193333,1.388014667,11.86550667,11.78732,299.9765333,0.899966,0.100034,0,2.77558,0,717.286,2669.715333,36.437,40.687,38.875,39.51653333,37.062,269.97,30.01,0,1743615675,0,1743615697,12:41:37,1743615697,1743615693,22,-0.256,0,5.865,0.063,800,16,0.57,0.16,-0.657281857,0.260695403,0.048521436,0,0.081245243,-0.013478696,0.001694562,1,1,2,2-Jan,3.12479,2.72335,0.140617,0.141195,0.0744033,0.0741101,23279.3,21001.4,24213.1,23798.9,38205.5,36441.2,43651.1,42392.6,1.87115,1.84845,0.083223,0,23.6384,999.9,39.415,26.616,15.4488,54.1885,44.1947,1,-0.154029,-0.799415,20.255,5.23421,11.992,4.9572,3.304,999.9,9999,9999,9999,1.86831,1.86401,1.87164,1.86246,1.86188,1.86843,1.85852,1.86494,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.865,0.063,3.943436982,0.004507312,-2.84E-06,7.75E-10,-0.013542818,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.5,1.6,1.74316,2.34863,1.49902,2.34497,1.54419,2.26074,31.5424,15.6205,18,498.891,432.778,25.5118,25.4156,30.0002,25.3612,25.3847,34.9151,-30,-30,25.5198,800,0,97.8343,98.8387,NA
23,1743615778,3291,20250402 12:42:58,12:42:58,5,gibson,4061_mai_pink,1743615770,6.97E-05,0.069737481,0.915887748,998.84925,505.005834,45.13889443,89.28005938,0.003138984,2.733904512,0.003136983,0.001960794,49.61666315,25.78468145,25.78468145,3.331505109,42.66880922,1.397015326,3.274090257,1.934489783,-3.075422914,-43.18353328,-3.362653883,-0.004946925,0,0,1,0,47484,299.994375,252.8955656,0.843001025,0.165391978,6,0.5,0: Broadleaf,2,1743615770,998.84925,1000.031875,15.62955625,15.54718125,992.75025,15.56255625,500.01225,89.2829375,0.099979275,25.49169375,25.00175,999.9,0,0,9995.34375,0,175.4685625,-1.15884375,1014.730625,1015.825,0.079286106,1000.031875,15.54718125,1.395178125,1.38809875,11.8653,11.78823125,299.994375,0.89997225,0.100027719,0,2.7266625,0,723.790375,2669.879375,36.437,40.742125,38.878875,39.562,37.0974375,269.9875,30.01,0,1743615778,0,1743615798,12:43:18,1743615798,1743615796,23,-0.026,0.004,6.099,0.067,1000,16,0.54,0.19,-1.144557619,-0.012928052,0.047617473,1,0.079606781,-0.000930717,0.001449948,1,2,2,2-Feb,3.1247,2.72348,0.163007,0.163493,0.0743953,0.0741072,22670.7,20456.4,24210.5,23798.8,38204.5,36443.2,43647.2,42392.8,1.87145,1.84878,0.082843,0,23.6456,999.9,39.366,26.616,15.4292,54.3285,44.5553,1,-0.15311,-0.785618,20.255,5.23436,11.9918,4.9573,3.304,999.9,9999,9999,9999,1.86831,1.86401,1.87164,1.86248,1.86188,1.86838,1.85852,1.86493,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.099,0.067,3.687414284,0.004507312,-2.84E-06,7.75E-10,-0.013265295,-0.005433597,0.000660104,4.95E-07,1,2226,1,22,1.4,1.4,2.08496,2.323,1.4978,2.34497,1.54419,2.40112,31.5643,15.6118,18,499.171,433.068,25.5359,25.4303,30,25.3739,25.3975,41.7608,-30,-30,25.5369,1000,0,97.8251,98.8388,NA
