obs,time,elapsed,date,hhmmss,averaging,machine,id,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,CO2_hrs,AccH2O_des,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA
11,1743612727,1079.9,20250402 11:52:07,11:52:07,5,ozzie,54_mai_white,1743612719,0.000161056,0.161056173,3.440003049,1195.641375,349.4853032,31.27196347,106.9860537,0.006747899,2.736357187,0.006738668,0.004212496,49.61977181,25.81042911,25.81042911,3.33659249,38.14876688,1.252837067,3.284082735,2.083755423,-7.102577246,-39.45088579,-3.070431245,-0.004122476,0,0,1,0,47473,300.0174375,252.9146417,0.842999806,0.165389626,6,0.5,0: Broadleaf,2,1743612719,1195.641375,1200.000625,14.0013,13.81073125,1200.774375,14.0243,499.98075,89.38006875,0.099984294,25.54300625,24.9944375,999.9,0,0,9999.0625,0,183.416625,-4.423913125,1212.558125,1216.804375,0.19476975,1200.000625,13.81073125,1.251814375,1.234405625,10.23244375,10.02308125,300.0174375,0.900012937,0.099986881,0,2.12855625,0,2545.059375,2548.8325,36.5544375,39.1443125,37.941125,38.10525,36.73025,270.019375,30,0,1743612726,0,1743612745,11:52:25,1743612745,1743612745,11,0.068,0,-5.133,-0.023,1200,14,0.41,0.09,-4.433589,0.099378045,0.024078142,1,0.1950324,-0.004782767,0.000773104,1,2,2,2-Feb,3.13155,2.77808,0.184501,0.184398,0.0694018,0.0688912,30948.3,33141,34328.5,36819.4,45143.3,49210.2,53533.6,58796.1,1.98293,2.37328,0.0878982,0,23.5523,999.9,38.774,26.667,15.2277,54.8036,36.1899,2,-0.146867,-0.690575,20.1627,5.19842,12.0041,4.97585,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86874,1.86966,1.86569,1.86676,1.86815,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-5.133,-0.023,-3.0690036,-0.003392961,1.56E-06,-1.77E-10,-0.095539831,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.5,2.948,2.5708,2.19849,2.64893,2.44507,2.30957,30.0718,15.9007,18,498.477,793.151,25.1177,25.441,30.0003,25.4553,25.3916,58.9793,-30,-30,25.1203,1200,0,97.326,95.2934,NA
12,1743612836,1188.9,20250402 11:53:56,11:53:56,5,ozzie,54_mai_white,1743612828,0.000157885,0.157885337,4.11794506,1494.80525,471.3567496,42.17415291,133.7461387,0.006688172,2.73744968,0.006679108,0.004175256,49.61564912,25.73283607,25.73283607,3.321281734,38.55770736,1.260387179,3.268833303,2.060894555,-6.962743374,-39.58019507,-3.076854737,-0.004144065,0,0,1,0,47379,299.9879375,252.8901651,0.843001113,0.165392147,6,0.5,0: Broadleaf,2,1743612828,1494.80525,1500.03,14.0866375,13.89984375,1499.86625,14.1086375,499.999375,89.37399375,0.099961906,25.46464375,24.98113125,999.9,0,0,10006.24125,0,181.1324375,-5.3392025,1516.054375,1521.1725,0.192825313,1500.03,13.89984375,1.259519375,1.242284375,10.3242875,10.11818125,299.9879375,0.899963,0.100037,0,2.17991875,0,2575.3675,2548.54125,35.679375,38.870875,37.265375,37.531,36.0388125,269.97875,30.01,0,1743612835,0,1743612863,11:54:23,1743612863,1743612854,12,0.115,-0.002,-5.061,-0.022,1500,14,0.9,0.12,-5.336831905,0.030656883,0.057936747,1,0.193126476,-0.007857039,0.00101004,1,2,2,2-Feb,3.13156,2.77792,0.211625,0.211546,0.0697257,0.0692245,29920.5,32039.7,34328.5,36819.5,45130.5,49195.9,53533.9,58796.4,1.98315,2.37395,0.0870042,0,23.5579,999.9,38.872,26.707,15.3024,54.2836,36.0857,2,-0.14657,-0.855256,20.164,5.19872,12.0041,4.9758,3.29395,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86875,1.86966,1.86569,1.86676,1.86815,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-5.061,-0.022,-3.000809118,-0.003392961,1.56E-06,-1.77E-10,-0.095189324,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.5,3.51074,2.56714,2.19849,2.64771,2.44629,2.30713,30.0932,15.9007,18,498.602,793.748,25.3436,25.441,30,25.4532,25.3894,70.242,-30,-30,25.3502,1500,0,97.3264,95.2938,NA
14,1743615161,3514,20250402 12:32:41,12:32:41,5,ozzie,1468_mai_white,1743615153,0.000345054,0.345053792,2.356063302,397.00575,126.1258266,11.27315118,35.48445199,0.014486012,2.73446404,0.014443513,0.009031004,49.61602002,25.69051838,25.69051838,3.312957443,37.66723335,1.231964119,3.270651996,2.080993324,-15.21687221,-31.91830973,-2.483538781,-0.002700694,0,0,1,0,47536,299.995125,252.8958004,0.8429997,0.165389421,6,0.5,0: Broadleaf,2,1743615153,397.00575,399.9973125,13.7834125,13.37506875,401.25175,13.8194125,500.016625,89.2801875,0.100009119,25.47400625,24.99910625,999.9,0,0,9998.980625,0,179.9258125,-3.11329875,402.43525,405.419875,0.418898,399.9973125,13.37506875,1.23153,1.194129375,9.988240625,9.52856125,299.995125,0.900006125,0.099994138,0,2.20980625,0,2281.1725,2548.6375,35.75775,39.1364375,37.406,37.7498125,36.1481875,269.99625,29.99625,0,1743615160,0,1743615183,12:33:03,1743615183,1743615179,14,0.128,0.001,-4.246,-0.036,400,13,0.33,0.08,-3.107368571,-0.025754805,0.024796165,1,0.418699571,0.003714545,0.000721388,1,2,2,2-Feb,3.13142,2.77799,0.0861769,0.0861086,0.0685453,0.0671573,34681.4,37147.2,34332.3,36834.1,45180.5,49314.1,53540.1,58823,1.99058,2.36915,0.0944063,0,23.4584,999.9,36.992,27.352,15.1394,54.2836,36.5665,2,-0.159853,-0.793979,20.1649,5.19932,12.004,4.97575,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86877,1.86966,1.86569,1.86676,1.86817,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.246,-0.036,-3.246164408,-0.003392961,1.56E-06,-1.77E-10,-0.096289953,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,36.4,36.5,1.22925,2.57812,2.19849,2.64648,2.44507,2.30591,30.5662,15.603,18,501.958,786.987,25.3068,25.2958,30,25.2987,25.2362,24.6206,-30,-30,25.301,400,0,97.3375,95.3348,NA
15,1743615268,3621,20250402 12:34:28,12:34:28,5,ozzie,1468_mai_white,1743615260,0.000348976,0.348976153,1.588613122,297.955625,115.6801088,10.33954931,26.63143137,0.014615313,2.735002243,0.014572062,0.009111414,49.61547689,25.69854171,25.69854171,3.314534308,37.53845729,1.228420293,3.272431479,2.086114015,-15.38984836,-31.75754446,-2.470756728,-0.002672662,0,0,1,0,47331,299.9899375,252.8915904,0.843000244,0.16539047,6,0.5,0: Broadleaf,2,1743615260,297.955625,299.98675,13.7437125,13.33069375,301.932625,13.7807125,499.9965625,89.28056875,0.099960206,25.4831625,25.01349375,999.9,0,0,10002.14063,0,179.955625,-2.05907125,302.08275,304.0398125,0.424239313,299.98675,13.33069375,1.2280475,1.19017375,9.94599625,9.479191875,299.9899375,0.900002375,0.099997906,0,2.1923875,0,2278.130625,2548.59,36.242125,40.2888125,38.0155,39.3045,36.726375,269.9925,30.001875,0,1743615267,0,1743615288,12:34:48,1743615288,1743615286,15,0.034,0.001,-3.977,-0.037,300,13,0.45,0.15,-2.048122,-0.07824812,0.022151,1,0.42383735,0.009397669,0.001036144,1,2,2,2-Feb,3.13167,2.77815,0.0687288,0.0685238,0.0684005,0.0669913,35343.5,37862.2,34332.2,36834.4,45185.7,49321.6,53540,58823.8,1.99075,2.36863,0.0931993,0,23.489,999.9,36.87,27.362,15.0981,54.6236,36.5304,2,-0.159583,-0.696816,20.165,5.19902,12.004,4.97585,3.29398,9999,999.9,9999,9999,1.86296,1.86783,1.86752,1.86881,1.86966,1.86569,1.86676,1.86815,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.977,-0.037,-3.117805481,-0.003392961,1.56E-06,-1.77E-10,-0.095516075,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.4,1.5,0.979004,2.58545,2.19849,2.64648,2.44507,2.32178,30.6093,15.5855,18,502.111,786.533,25.2849,25.3,30.0001,25.3029,25.2383,19.633,-30,-30,25.2776,300,0,97.3374,95.336,NA
16,1743615377,3729.9,20250402 12:36:17,12:36:17,5,ozzie,1468_mai_white,1743615369,0.000353149,0.353149275,0.903363656,198.8263125,95.02433652,8.493060819,17.77064725,0.014761986,2.735291533,0.014717869,0.009202621,49.62136481,25.70377988,25.70377988,3.315564144,37.43385233,1.225461599,3.273672152,2.090102545,-15.57388302,-31.59233912,-2.457787152,-0.002644474,0,0,1,0,47554,300.02475,252.9210049,0.843000469,0.165390905,6,0.5,0: Broadleaf,2,1743615369,198.8263125,199.994625,13.7110375,13.2930625,202.5193125,13.7490375,499.9924375,89.27775625,0.0999877,25.48954375,25.00068125,999.9,0,0,10004.1775,0,180.0634375,-1.184175,201.5768125,202.6889375,0.430210813,199.994625,13.2930625,1.22518125,1.186773125,9.911106875,9.43666125,300.02475,0.899976938,0.100023219,0,2.0706875,0,2278.919375,2548.865,36.698875,40.917625,38.52325,40.2340625,37.20275,270.015,30.006875,0,1743615376,0,1743615397,12:36:37,1743615397,1743615395,16,0.019,0,-3.693,-0.038,200,13,0.37,0.11,-1.177201429,-0.048412987,0.03267048,1,0.430034286,-0.000192078,0.00096504,1,2,2,2-Feb,3.13147,2.77798,0.0489153,0.0485403,0.0682724,0.0668429,36095.6,38674.2,34332.3,36834,45189.4,49326.5,53539.5,58823.1,1.99043,2.3682,0.0910163,0,23.5028,999.9,36.766,27.392,15.0817,53.7436,36.5905,2,-0.158562,-0.70357,20.165,5.19872,12.004,4.97575,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86753,1.86885,1.86966,1.86569,1.86676,1.86816,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.693,-0.038,-3.084234397,-0.003392961,1.56E-06,-1.77E-10,-0.094611623,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.5,0.717773,2.58911,2.19849,2.64526,2.44507,2.30469,30.6309,15.568,18,501.969,786.265,25.211,25.3086,30.0001,25.3103,25.2466,14.3932,-30,-30,25.2053,200,0,97.3368,95.3348,NA
17,1743615487,3839.9,20250402 12:38:07,12:38:07,5,ozzie,1468_mai_white,1743615479,0.000362477,0.362477414,0.198749849,99.7044,75.24414543,6.72542696,8.911718725,0.01511436,2.734188084,0.015068096,0.009421705,49.62216523,25.72042236,25.72042236,3.318837948,37.32583638,1.223316129,3.27739777,2.095521818,-15.98525394,-31.21003298,-2.429461565,-0.002583259,0,0,1,0,47283,300.0287333,252.9244362,0.843000713,0.165391377,6,0.5,0: Broadleaf,2,1743615479,99.7044,99.98626,13.68647333,13.25746667,103.1314,13.72547333,500.0151333,89.28136667,0.100032,25.50869333,24.99881333,999.9,0,0,9997.206667,0,180.1712667,-0.253418867,101.1181333,101.3296,0.4411054,99.98626,13.25746667,1.223026667,1.183644667,9.884839333,9.397418667,300.0287333,0.899976,0.100024207,0,2.210506667,0,2292.096667,2548.897333,37.1124,41.3498,38.958,40.90806667,37.6208,270.0186667,30.01,0,1743615486,0,1743615505,12:38:25,1743615504,1743615505,17,-0.028,0,-3.427,-0.039,100,13,0.21,0.12,-0.248850095,-0.065676156,0.02372453,1,0.440291857,0.011789377,0.001272615,1,2,2,2-Feb,3.13147,2.77797,0.0262457,0.0255945,0.0681857,0.066712,36955.1,39607.5,34331.2,36834.3,45190,49331.3,53538.1,58823.8,1.9901,2.3676,0.0908598,0,23.5107,999.9,36.668,27.422,15.0678,54.3837,36.5144,2,-0.157815,-0.724597,20.1647,5.19827,12.004,4.97555,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86886,1.86965,1.86568,1.86676,1.86817,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.427,-0.039,-3.065165578,-0.003392961,1.56E-06,-1.77E-10,-0.095077616,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.5,0.444336,2.60864,2.19849,2.64526,2.44507,2.33398,30.674,15.5592,18,501.867,785.868,25.1681,25.3214,30.0002,25.3219,25.2571,8.92768,-30,-30,25.1746,100,0,97.334,95.3358,NA
18,1743615596,3948.9,20250402 12:39:56,12:39:56,5,ozzie,1468_mai_white,1743615588,0.000374206,0.374206381,-0.108559678,50.0982,59.16793954,5.288882889,4.478160213,0.015586671,2.735687846,0.015537502,0.009715343,49.61378587,25.72893762,25.72893762,3.320514108,37.27150009,1.222401212,3.279720991,2.098112897,-16.50250138,-30.72327932,-2.390505917,-0.002500747,0,0,1,0,47274,299.9774375,252.8812479,0.843000894,0.165391725,6,0.5,0: Broadleaf,2,1743615588,50.0982,49.990425,13.67528125,13.232375,53.3732,13.71628125,500.000625,89.28766875,0.099978163,25.520625,24.9928,999.9,0,0,10005.42563,0,180.259125,0.1130478,50.79888125,50.6608,0.456667063,49.990425,13.232375,1.22226375,1.18148875,9.875513125,9.370315625,299.9774375,0.899977,0.1000232,0,2.15128125,0,2305.798125,2548.4625,37.4960625,41.6870625,39.3238125,41.30425,37.976375,269.9725,30.006875,0,1743615595,0,1743615614,12:40:14,1743615610,1743615614,18,-0.005,-0.001,-3.275,-0.041,50,13,0.14,0.19,0.11846479,-0.019023735,0.040944415,1,0.45616935,0.012383504,0.001288521,1,2,2,2-Feb,3.13158,2.77804,0.0138262,0.0130144,0.0681611,0.0666215,37425.3,40117.4,34329.9,36832.8,45189,49333.3,53537.1,58822.2,1.98997,2.3669,0.0908673,0,23.5028,999.9,36.571,27.432,15.0367,54.7637,36.5304,2,-0.156918,-0.731599,20.1646,5.19827,12.004,4.9756,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86753,1.8688,1.86966,1.86569,1.86676,1.86817,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-3.275,-0.041,-3.093034406,-0.003392961,1.56E-06,-1.77E-10,-0.095140448,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.5,0.306396,2.62695,2.19849,2.64526,2.44507,2.29614,30.6956,15.533,18,501.905,785.44,25.1819,25.3363,30.0002,25.3346,25.2718,6.15552,-30,-30,25.1823,50,0,97.3315,95.3327,NA
19,1743615706,4058.9,20250402 12:41:46,12:41:46,5,ozzie,1468_mai_white,1743615698,0.000391693,0.391693301,2.675220138,396.6242,123.3553845,11.0268633,35.45464068,0.016305867,2.73583423,0.016252068,0.010162361,49.61711146,25.75674695,25.75674695,3.325993303,37.32182428,1.226427474,3.286086619,2.09956583,-17.2736746,-30.01021481,-2.335608311,-0.002386254,0,0,1,0,47286,299.9982,252.8986946,0.843000707,0.165391364,6,0.5,0: Broadleaf,2,1743615698,396.6242,400.0208667,13.71980667,13.25622667,400.8192,13.75980667,500.0034667,89.29108,0.0999372,25.55328,25.00305333,999.9,0,0,10005.91467,0,180.0145333,-3.420781333,402.1221333,405.3948,0.476634267,400.0208667,13.25622667,1.226222,1.183662667,9.92377,9.397644667,299.9982,0.8999712,0.100029,0,2.194286667,0,2258.875333,2548.635333,37.8288,41.9916,39.67046667,41.65393333,38.29133333,269.9893333,30.00666667,0,1743615705,0,1743615729,12:42:09,1743615729,1743615726,19,0.031,0,-4.195,-0.04,400,13,0.69,0.09,-3.436848095,0.272228571,0.032171946,0,0.475795762,0.015254649,0.001731182,1,1,2,2-Jan,3.13143,2.77797,0.0861005,0.0861053,0.0683245,0.0667135,34681.6,37145.6,34329.9,36832.7,45189.5,49337.3,53537.8,58822.3,1.9899,2.36725,0.0920705,0,23.4969,999.9,36.497,27.473,15.0411,54.5337,36.5064,2,-0.15628,-0.699123,20.1648,5.19857,12.004,4.97555,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86879,1.86966,1.86569,1.86676,1.86814,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.195,-0.04,-3.098455775,-0.003392961,1.56E-06,-1.77E-10,-0.096090066,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.6,1.5,1.22925,2.60132,2.19849,2.64648,2.44507,2.28271,30.7388,15.5155,18,501.997,785.983,25.1827,25.3516,30.0001,25.3498,25.2865,24.626,-30,-30,25.1791,400,0,97.3324,95.3328,NA
20,1743615791,4143.9,20250402 12:43:11,12:43:11,5,ozzie,1468_mai_white,1743615783,0.000402439,0.402438878,2.666615519,396.614,131.0328431,11.71297557,35.45317328,0.01675339,2.735213503,0.01669659,0.010440456,49.6149161,25.75974673,25.75974673,3.326584812,37.32295212,1.226898109,3.287248299,2.099686703,-17.74755453,-29.5678714,-2.301807725,-0.002317555,0,0,1,0,47498,299.9869333,252.8890248,0.843000133,0.165390257,6,0.5,0: Broadleaf,2,1743615783,396.614,400.0055333,13.72528667,13.24898,400.812,13.76528667,499.9912667,89.28966667,0.099949627,25.55923333,24.99750667,999.9,0,0,10002.37867,0,179.9989333,-3.381432667,402.1490667,405.3765333,0.489812,400.0055333,13.24898,1.226732667,1.182996667,9.929976667,9.389279333,299.9869333,0.899998,0.1000021,0,2.128726667,0,2259.117333,2548.561333,36.85386667,39.6498,38.3122,38.71646667,37.02886667,269.9866667,30,0,1743615790,0,1743615811,12:43:31,1743615811,1743615810,20,-0.003,0,-4.198,-0.04,400,13,0.54,0.17,-3.378803,-0.066120902,0.022889033,1,0.489511,0.005271519,0.000688297,1,2,2,2-Feb,3.13137,2.77806,0.0860963,0.0861024,0.0683425,0.0666784,34681,37144.8,34329.2,36831.8,45187.9,49338.3,53537,58821.3,1.9896,2.3673,0.0921264,0,23.481,999.9,36.467,27.503,15.0559,54.1937,36.5745,2,-0.155254,-0.702514,20.1629,5.19722,12.004,4.9755,3.294,9999,999.9,9999,9999,1.86295,1.86783,1.86755,1.86879,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.198,-0.04,-3.067168497,-0.003392961,1.56E-06,-1.77E-10,-0.095794753,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1,1.1,1.22925,2.60376,2.19849,2.64526,2.44507,2.30591,30.7604,15.498,18,501.899,786.158,25.1784,25.3619,30.0002,25.36,25.2951,24.6226,-30,-30,25.1799,400,0,97.3306,95.3309,NA
21,1743615902,4254.9,20250402 12:45:02,12:45:02,5,ozzie,1468_mai_white,1743615894,0.000414254,0.414254425,4.238235035,594.623375,187.9020493,16.7965399,53.15330662,0.017362664,2.73479901,0.017301656,0.010818998,49.62461362,25.69358256,25.69358256,3.313559584,37.4860312,1.227658696,3.274976455,2.085900888,-18.26862014,-29.09441307,-2.263824052,-0.002243647,0,0,1,0,47408,300.0461875,252.9389229,0.842999956,0.165389916,6,0.5,0: Broadleaf,2,1743615894,594.623375,600.0048125,13.73375625,13.24348125,599.261375,13.77375625,500.00325,89.28988125,0.099989475,25.49625,24.99128125,999.9,0,0,9999.888125,0,179.9968125,-5.32400125,602.97,608.0575625,0.504145688,600.0048125,13.24348125,1.2275225,1.182509375,9.939610625,9.383149375,300.0461875,0.900005188,0.099995063,0,2.0826625,0,2326.525625,2549.070625,35.562125,38.5231875,37.105125,37.1209375,35.87075,270.04375,30.004375,0,1743615901,0,1743615921,12:45:21,1743615921,1743615920,21,-0.048,0,-4.638,-0.04,600,13,0.26,0.05,-5.3258605,-0.038625113,0.028495217,1,0.5039248,0.006272391,0.000869718,1,2,2,2-Feb,3.13126,2.77797,0.115938,0.116136,0.0683739,0.0666602,33548.4,35924.1,34328.7,36831.4,45188.5,49342.5,53535.7,58820.9,1.98962,2.36762,0.092905,0,23.4672,999.9,36.369,27.523,15.0312,54.8537,36.5665,2,-0.1547,-0.879311,20.1639,5.19857,12.004,4.97565,3.29398,9999,999.9,9999,9999,1.86296,1.86783,1.86752,1.86882,1.86965,1.86569,1.86676,1.86814,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.638,-0.04,-3.069636315,-0.003392961,1.56E-06,-1.77E-10,-0.095677488,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.5,1.698,2.59277,2.19849,2.64648,2.44507,2.33643,30.782,15.498,18,501.954,786.518,25.4363,25.364,30,25.3642,25.2991,33.9844,-30,-30,25.4338,600,0,97.3286,95.3301,NA
22,1743616008,4360.9,20250402 12:46:48,12:46:48,5,ozzie,1468_mai_white,1743616000,0.000414557,0.41455748,5.608052055,792.8774375,255.0591041,22.80082241,70.8786997,0.017382428,2.735996943,0.017321309,0.010831291,49.61930301,25.68937923,25.68937923,3.312733614,37.49190045,1.227558763,3.274197222,2.085174851,-18.28198487,-29.07808739,-2.26146985,-0.002239107,0,0,1,0,47529,300.0150625,252.9126002,0.842999675,0.165389373,6,0.5,0: Broadleaf,2,1743616000,792.8774375,800.0014375,13.7319625,13.24133125,797.6184375,13.7719625,500.006625,89.2942875,0.099982469,25.49224375,24.988575,999.9,0,0,10006.52375,0,179.6625,-7.303904375,803.7458125,810.7366875,0.504637688,800.0014375,13.24133125,1.22743625,1.182374375,9.93853875,9.381461875,300.0150625,0.900007063,0.099993219,0,2.098325,0,2434.650625,2548.805625,36.07775,40.0153125,37.8395625,38.9216875,36.5699375,270.015625,29.998125,0,1743616007,0,1743616026,12:47:06,1743616026,1743616026,22,0.189,0,-4.741,-0.04,800,13,0.26,0.14,-7.302202,0.054937444,0.046217113,1,0.50429175,0.004278812,0.000690352,1,2,2,2-Feb,3.13159,2.77804,0.141285,0.141618,0.0683745,0.0666537,32588.1,34890.7,34329.7,36833,45192.6,49347.8,53537.2,58823.1,1.9907,2.36797,0.0938922,0,23.4613,999.9,36.272,27.563,15.0282,54.1837,36.4984,2,-0.155965,-0.952416,20.1634,5.19827,12.004,4.97565,3.29398,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86878,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.741,-0.04,-3.117506395,-0.003392961,1.56E-06,-1.77E-10,-0.095491386,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.4,1.5,2.13501,2.58423,2.19849,2.64526,2.44629,2.30591,30.8037,15.4717,18,502.59,786.747,25.5376,25.3525,30,25.3578,25.2927,42.7509,-30,-30,25.5332,800,0,97.3314,95.3338,NA
23,1743616118,4470.9,20250402 12:48:38,12:48:38,5,ozzie,1468_mai_white,1743616110,0.000396148,0.396148317,6.558257607,991.6576667,330.5218011,29.54485002,88.64279737,0.016552789,2.735197883,0.016497338,0.010315803,49.61604515,25.71294088,25.71294088,3.317365889,37.38609872,1.225434777,3.2777819,2.091931112,-17.47014077,-29.82735296,-2.320909104,-0.00235768,0,0,1,0,47561,299.9941333,252.8950624,0.843000027,0.165390051,6,0.5,0: Broadleaf,2,1743616110,991.6576667,999.9987333,13.70908667,13.24024,996.5536667,13.74708667,500.0152667,89.28853333,0.099972747,25.51066667,24.99687333,999.9,0,0,10002.41267,0,180.0191333,-8.379886667,1005.412667,1013.416,0.479674133,999.9987333,13.24024,1.225031333,1.182202667,9.909272667,9.379291333,299.9941333,0.900008,0.0999923,0,2.194653333,0,2532.277333,2548.629333,36.5496,40.7624,38.3624,39.99986667,37.07046667,269.9973333,30,0,1743616117,0,1743616137,12:48:57,1743616137,1743616136,23,0.046,0.003,-4.896,-0.038,1000,13,0.3,0.1,-8.396499048,0.246034286,0.041932479,0,0.480408143,-0.013505221,0.001611615,1,1,2,2-Jan,3.13147,2.7782,0.163651,0.164026,0.0682521,0.066642,31740.9,33982.5,34330.4,36834.9,45202.3,49353.9,53538.7,58826.3,1.99075,2.36857,0.0927597,0,23.4672,999.9,36.198,27.573,15.0059,54.1637,36.4944,2,-0.157299,-0.890131,20.1637,5.19872,12.004,4.9758,3.294,9999,999.9,9999,9999,1.86295,1.86783,1.86752,1.86876,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-4.896,-0.038,-2.928790051,-0.003392961,1.56E-06,-1.77E-10,-0.095939005,-0.024468374,0.002584718,-3.21E-05,3,2317,1,25,1.5,1.5,2.55249,2.58179,2.19849,2.64526,2.44507,2.2937,30.8253,15.4542,18,502.504,787.146,25.4762,25.3363,29.9999,25.3451,25.2823,51.0735,-30,-30,25.4752,1000,0,97.3339,95.3389,NA
